SURVIVOR;DD/MMM;/YEAR;RESULT;RD;DECEASED;AGE;MV;ALPHA;CITY;STATE/CTY/PROV;COUNTRY;WEIGHT;SOURCE/REMARKS;CHAMPIONSHIP;PRO/AM/TOUGHMAN;TYPE;WHERE;CAUSALITY/LEGAL;;
John O'Brien;7-Sep;1965;KO;4;"Jesus ""Chucho"" Saucedo";23;Y;saucedo;London;London;England;Bantam;"Morgantown (West Virginia) Post, September 8, 1965; Lima (Ohio) News, September 15, 1965; (Dublin) Irish Times, October 11, 1965. A left hook knocked Saucedo from the ring. During the fall, he struck his head on the ring apron. He was taken to the hospital, where he drifted in and out of consciousness for the next week. He was flown back to Mexico on October 9, 1965, and he died there the following week."; ;Pro;Brain injury;Ring;;;
Roscoe Gergory;11-Sep;1965;TKO;6;"Willie ""Pineapple"" Stevenson";29;Y;stevenson;Boston;Massachusetts;USA;Welter;"New York Times, September 20, 1965; Elyria (Ohio) Chronicle Telegram, September 21, 1965. Knocked down three times in the fight, Stevenson subsequently complained of headache and dizziness. He was hospitalized. He died in hospital. Cause of death was subarachnoid hemorrhage. Stevenson had lost 9 of his last 12 matches, and this was his first known fight in over three years."; ;Pro;Brain injury;Soon after;Mismatch; ;
Joseph Batello;2-Nov;1965;KO;1;Ronald E. Alexander;25;Y;alexander;Fort Madison;Iowa;USA;ND;Kansas City (Missouri) Times, November 5, 1965. This was a supervised grudge match between two inmates at the state prison, with eight-ounce gloves and three-minute rounds. Cause of death was hemorrhage of the brain.; ;Amateur;Brain injury;Ring;; ;
ND;5-Nov;1965;Ldec;3;Clive Buckton;33;Y;buckton;Cape Town;;South Africa;Heavy;"Oakland Tribune, November 6, 1965; Pasadena (California) Independent, November 6, 1965. Upon arriving home after the fight, Buckton complained of chest pains. He then died. Cause of death was listed as heart attack."; ;Amateur;Cardiac;Soon after;; ;
ND;5-Nov;1965;Ldec;3;Stanislav Patocka;25;Y;patocka;Brattislava;;Czechoslovakia (Slovakia);Light Heavy;"Frederick (Maryland) Post, November 17, 1965; Pacific Stars and Stripes, November 18, 1965. After the bout, the former national champion complained of severe headaches and dizziness. He became unconscious the following morning, and he died that afternoon.";National amateur;Amateur;;Soon after;; ;
ND;14-Dec;1965;KO;;Romeo Hayohoywo;24; ;hayohoywo;Cebu City; ;Philippines;ND;Kingston (Jamaica) Gleaner, December 14, 1965.; ;Amateur;;Ring;; ;
ND;17-Dec;1965;KO;3;Louis E. Hand;25;Y;hand;Bad Kreuznach;;Germany;Light;"Manchester (England) Guardian, December 19, 1965; Syracuse (New York) Herald Journal, December 19, 1965. Hand was a US Army sergeant participating in a US Army tournament. It was his first tournament. He was knocked down twice during the match, and collapsed at the end of the fight. He died the next day. Cause of death was brain injury."; ;Amateur;Brain injury;Ring;; ;
Anibal Martinez;10-Jan;1966;KO;1;Carlos Bazan Martinez;21;Y;bazan;Fatucen; ;Chile;Welter;"New York Times, January 11, 1966; Manchester (England) Guardian January 12, 1966; (Reno) Nevada State Journal, January 12, 1966; Charleston (West Virginia) Sunday Gazette-Mail, January 16, 1966; (Sydney, Australia) The Age, January 17, 1966. Cause of death was listed as brain damage. The death caused the temporary suspension of all boxing in Chile."; ;Amateur;Brain injury;Ring;;;
Nadenicek;13-Feb;1966;KO;2;Frantisek Marecek;18;Y;maracek;Karlovy;;Czechoslovakia (Czech Republic);ND;New York Times, February 20, 1966. Following the knockout, Maracek remained unconscious until his death four days later. As this was the second death in Czechoslovakia in three months, the Czechoslovak Boxing Organization announced a temporary ban on boxing while safety measures were reviewed.; ;Amateur;Brain injury;Ring;;;
Neville Kennedy;16-Mar;1966;Ldec;4;Patrick Casey;21;Y;casey;Sydney;New South Wales;Australia;Light;"New York Times, March 22, 1966; Bristol (Pennsylvania) Bucks County Courier, March 22, 1966; Charleston (West Virginia) Daily Mail, March 22, 1966. After the fight, Casey collapsed in his corner. He was taken to the hospital, where he died five days later. Cause of death was blood clots in the brain. It was Casey's third professional fight, and he had taken severe beatings in his two previous fights. His share of the purse was US $16."; ;Pro;Brain injury;Ring;; ;
ND;20-Mar;1966;Sparring;;Dolphin Candelario;30;;candelario;Wailuku;Hawaii;USA;ND;Honolulu Advertiser, March 21, 1966. After sparring with some young amateurs, Candelario felt dizzy, so he went home and went to bed.  The next morning, he was admitted to the hospital, where he subsequently died.; ;Pro;Brain injury;Soon after;; ;
Julio Guerrero;14-May;1966;TKO;5;Fernando Blanco; ; ;blanco;Oaxaca;;Mexico;Fly;"Long Beach (California) Press-Telegram, May 16, 1966; Washington Post, May 17, 1966. Blanco was knocked down. His head reportedly hit the rope during the fall. He stood up, went to his corner, and collapsed. He was carried from the ring. He died in hospital. Cause of death listed as subdural hematoma."; ;Pro;Brain injury;Ring;Fall; ;
ND;26-May;1966;Training; ;"Alejandro ""Chico"" Torres+F1669"; ;Y;torres;Maracaibo;;Venezuela;ND;"New York Times, May 29, 1966; Oakland Tribune, May 29, 1966. Cause of death listed as concussion."; ;Amateur;Brain injury;Ring;; ;
Alberto Mino;Jul/;1966;TKO;10;Belindo Leyba;28;Y;leyba;Corrientes;;Argentina;Feather;"Manuel Velazquez collection; http://www.boxrec.com. Leyba died after undergoing brain surgery."; ;Pro;Brain injury;Ring;; ;
Shigo Hirashi;18-Aug;1966;KO;8;Yoshimitsu Kubo;22;Y;kubo;Tokyo;;Japan;Bantam;"Japan Times, August 19, 1966, 3; New York Times, August 19, 1966. Kubo was knocked out. He was taken to the hospital, where he died three days later. Cause of death was cerebral hemorrhage."; ;Pro;Brain injury;Ring;; ;
Kloesges;4-Sep;1966;KO;3;Willi Lampert;36;Y;lampert;Neuwied;;Germany;Light Heavy;"New York Times, September 5, 1966; Kingston (Jamaica) Gleaner, September 5, 1966; Ring Record Book, 1966, 734. Lampert collapsed in the ring and died."; ;Amateur;;Ring;; ;
ND;6-Oct;1966;Wdec;3;Felics Kierula;21;Y;kierula;Warsaw;;Poland;ND;"New York Times, October 12, 1966; Long Beach (California) Independent, October 12, 1966; Syracuse (New York) Post-Standard, October 12, 1966. Kierula won the fight, but collapsed in the dressing room and died in hospital. Cause of death was a blood clot on the brain."; ;Amateur;Brain injury;Soon after;; ;
ND;29-Oct;1966;KO;;Stephen Aremu;15;Y;aremu;Kampala;;Uganda;ND;Oakland Tribune, November 1, 1966.;Uganda Junior championships;Amateur;;Ring;;;
Marion Conner;16-Nov;1966;KO;9;"Ed ""Greatest"" Crawford";28;Y;crawford;Canton;Ohio;USA;Light Heavy;"New York Times, November 19, 1966; Valparaiso (Indiana) Vidette-Messenger, November 19, 1966; Bettman/Corbis Archive, image 42-15854739, http://pro.corbis.com/search/searchFrame.aspx. Crawford, who had won just three of his past eleven fights, was carried from the ring unconscious. Surgery was done, but he died in hospital two days later. Cause of death was a blood clot on the brain. Conner was a promising light heavyweight who would start a downward spiral after a loss to Joe Frazier in December 1967,"; ;Pro;Brain injury;Ring;; ;
ND;6-Dec;1966;TKO;3;Fritz Regber;16;;regber;Repelen;;Germany;Light (Jr Light);(Dublin) Irish Times, December 7, 1966. It was Regber's first tournament. Midway through the third round, Regber signaled he wanted to stop, so the fight was stopped. On his way back to his corner, he collapsed. After CPR failed to revive him, a ringside doctor cut open Regber's chest with a pocketknife, and began direct massage. Regber died on the way to the hospital.; ;Amateur;Cardiac;Ring;; ;
John Farrell;19-Jan;1967;KO;3;Gerard O'Brien;19;Y;o'brien;Dublin; ;Ireland;ND;"New York Times, January 22, 1967; (Dublin) Irish Times, January 23, 1967; (Dublin) Irish Times, April 29, 1967. O'Brien had entered the novice division of a county league tournament; although he was an athlete, this was only his second contest. In the first round, O'Brien took a standing eight count, and in the third, about ten seconds before the round ended, he took a right to the jaw. He went down, hard, and this time, he did not get up. He was taken to hospital, where he died four days later. Cause of death was brain injury. The coroner attributed the death entirely to the fall, saying that Farrell was ""completely blameless."""; ;Amateur;Brain injury;Ring;Fall: Misadventure; ;
John Roberts;21-Jan;1967;Ldec;3;Stanley Mervyn Bell;18;Y;bell;Dapto;New South Wales;Australia;ND;Connellsville (Pennsylvania) Daily Courier, January 23, 1964. Bell came out of the crowd to accept the booth boxer's challenge.; ;Amateur;;Ring;; ;
"Qashe ""Anthony"" Sithole (Kid Snowball)";11-Mar;1967;KO;6;Lumkile Wiseman Dunjana (Young Clay);21;Y;dunjana;Port Elizabeth;;South Africa;Bantam;"""Deaths in the ring preyed on my mind,"" News24, November 16, 2002, http://www.news24.com/City_Press/City_Press_Sport/0,1885,186-245_1285991,00.html; Jimmy Matuyu, ""About Town,"" Port Elizabeth (South Africa) Herald Online, http://www.theherald.co.za/colarc/town/mj20062007.htm. The venue was the Great Centenary Hall (now Nangoza Jebe Hall). The fight was scheduled for eight rounds, but lasted six. Dunjana died March 15, 1967. His trainer was Nyami Pemba."; ;Pro;Brain injury;Ring;; ;
Antonio Matassio;29-Jun;1967;KO;;Tomas Misson;19;Y;misson;Udine;;Italy;Welter;"New York Times, July 3, 1967; Lethbridge (Alberta) Herald, July 3, 1967. Misson had never been knocked out before. However, he was carried from the ring unconscious, and he died in hospital on July 2."; ;Pro;Brain injury;Ring;; ;
Su Si Watanabe;27-Aug;1967;Ldec;3;Isamu Nakatasuchi;18;Y;nakatasuchi;Tokyo;;Japan;Light;Appleton (Wisconsin) Post Crescent, August 24, 1967. Nakatasuchi took an eight count in the third round, but got up and lasted to the bell. After the referee declared the winner, he collapsed. He was taken to the hospital, where he underwent surgery. He died anyway. Cause of death was brain hemorrhage.;All-Japan Amateur;Amateur;Brain injury;Soon after;; ;
ND;19-Sep;1967;Wdec;3;Otto Dhlamini;31;Y;dhlamini;ND;;South Africa;Welter;Manuel Velazquez collection. Dhlamini collapsed after winning. He was taken to the hospital. Brain surgery was done, but he died several days later.; ;Amateur;Brain injury;Soon after;; ;
Edgar Joseph Goodwin;4-Nov;1967;Sparring; ;Ernest Albert Pachico;30; ;pachico;Chino;California;USA;ND;Los Angeles Times, November 5, 1967. The men were inmates at the California Institute for Men. They were sparring in a supervised match in the prison gymnasium. In the fourth round, Pachico was knocked down twice, and the match was stopped. Pachico walked to his corner, then collapsed. He died in the prison hospital four hours later.; ;Amateur; ;Ring;;;
ND;1-Jan;1968;Ldec;3;John Humphrey;21;Y;humphrey;London;London;England;Light Heavy;Pacific Stars and Stripes, February 8, 1968. Humphrey went to the hospital with a broken jaw. He died.; ;Amateur;;Soon after;; ;
Luis Altamirano;19-Jan;1968;Ldec;10;Marcial Jimenez;20;Y;jimenez;Acapulco;;Mexico;Welter;European Stars and Stripes, January 24, 1968. Jimenez was knocked down by a blow to the chin. He went down for a count of eight, and stood up just as the fight ended. He remained standing until the decision was announced, then collapsed. He was taken to the hospital, where he died. Cause of death was brain hemorrhage.; ;Pro;Brain injury;Ring;; ;
Juan Carlos Duran;12-Jun;1968;TKO;15;Jupp Elze;28;Y;elze;Cologne;;Germany;Middle;"New York Times, June 13, 1968; (Dublin) Irish Times, June 21, 1968; Pacific Stars and Stripes, June 28, 1968. Elze had been advised to take a rest from the ring following a bout in April 1968. Eight-ounce gloves were worn. During the fifteenth round of this fight, Elze was hit at least twenty times in the head and neck. Unsurprisingly, he fell down. He stood up, then collapsed in the ring. He died in hospital eight days. Cause of death was subdural hematoma. The autopsy also revealed methamphatamines in Elze's system. The injuries are described in H.J. Colmant and G. Dotzauer, ""Analysis of a boxing match with fatal outcome from unusually severe brain damage,"" a German-language article published in Zeitschrift fr Rechtsmedizin (Journal of Legal Medicine), 1980: 84 (4), 263-278.";European;Pro;Brain injury;Ring;Weight, amphetamines; ;
Jose Izquierdo;3-Jul;1968;KO;3;Jose Lojan Diaz;21;Y;lojan;Loja;;Ecuador;ND;Pacific Stars and Stripes, July 6, 1968. Diaz collapsed in the ring, bleading from the mouth and nose. Cause of death was given as ruptured lungs. This was said to be the first boxing fatality in Ecuador.; ;Amateur;Pulmonary injury;Ring; ; ;
ND;26-Jul;1968;KO;4;Kamolchai Sitnoppaku;22;Y;sitnoppaku;Bangkok;;Thailand;Feather;Pacific Stars and Stripes, July 29, 1968. Cause of death was brain injury.; ;Pro;Brain injury;Ring;; ;
Giancarlo Ballisai;17-Aug;1968;KO;3;Raimondo Gaviano;19;Y;gaviano;Seui;;Italy;Bantam;"Dallas Morning News, August 19, 1968; Pacific Stars and Stripes, August 20, 1968. Gaviano took a stiff right to the jaw. He stiffened, then fell. He failed to regain consciousness following the knockout and died in hospital. Cause of death was cerebral hemorrhage. It was Gaviano's first professional fight."; ;Pro;Brain injury;Ring;; ;
Rod Sario;21-Aug;1968;Ldec;6;Amado Pineda;20;Y;pineda;Manila;;Philippines;ND;Pacific Stars and Stripes, August 25, 1968. Pineda collapsed in the dressing room. He was taken to the hospital, where he died. Cause of death was cerebral hemorrhage.; ;Pro;Brain injury;Soon after;; ;
Raphael Miya;23-Feb;1969;KO;5;Nicholas Cele (Lucky Boy);26;Y;cele;Durban;;South Africa;Feather;"New York Times, February 23, 1969; Appleton (Wisconsin) Post Crescent, February 24, 1969. Cele died shortly after arrival at the hospital. His corner said that his death was due to black magic."; ;Pro;;Ring;; ;
Joe Bugner;11-Mar;1969;Ldec;8;Ulric Regis;27;Y;regis;London;London;England;Heavy;"New York Times, March 16, 1969; London Times, March 17, 1969. Regis collapsed the morning after the fight and died three days later. Cause of death was attributed to a pre-existing blood clot on the brain."; ;Pro;Brain injury;Later;Prior injury; ;
ND;22-Apr;1969;Sparring;;Mitsuya Oshiro;17;;oshiro;Naha;Okinawa;USA;ND;Pacific Stars and Stripes, April 24, 1969. Headgear was not worn, and the coach was not present.; ;Amateur;;Ring;; ;
Omar Gottifredi;31-Jul;1969;KO;10;Mario Hector Paladino;27;Y;paladino;Buenos Aires;;Argentina;Welter (Jr Welter);"Pacific Stars and Stripes, August 2, 1969; New Castle (Pennsylvania) News, August 1, 1969; Sheboygan (Wisconsin) Press, August 1, 1969; Bettman/Corbis archive, image 42-15854750, http://pro.corbis.com/search/searchFrame.aspx. Paladino had not lost in 26 bouts, and this was a televised bout. Nonetheless, Paladino was knocked out just before the end of the tenth round. Cause of death was attributed to heart failure."; ;Pro;Cardiac;Ring;; ;
